,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
12:00-12:30,Seminario_de_Tesis_2 (MCIA_4) | Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),,,,Optativa_Especialidad_1_Fisica (FIS_8),,,,Taller_6 (FIS_7),Principios_Nanosensados (NANO_8),Electromagnetismo (BIOMED_3),Estatica (BIOMED_2) | Programacion_1 (NANO_2),,Seminario_de_Tesis_1 (MCIA_3),,,,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,Fisica_Experimental (FIS_2),,
12:30-13:00,Seminario_de_Tesis_2 (MCIA_4) | Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),,,Proyecto_Fase_1 (FIS_5),Optativa_Especialidad_1_Fisica (FIS_8),,,,Taller_6 (FIS_7),Principios_Nanosensados (NANO_8),,Estatica (BIOMED_2) | Programacion_1 (NANO_2),,Seminario_de_Tesis_1 (MCIA_3),,,,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,Fisica_Experimental (FIS_2),,
13:00-13:30,Seminario_de_Tesis_2 (MCIA_4) | Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),,Sustentabilidad (BIOMED_5),Proyecto_Fase_1 (FIS_5),,,,,,Principios_Nanosensados (NANO_8),,Estatica (BIOMED_2) | Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,Fisica_Experimental (FIS_2),,
13:30-14:00,Seminario_de_Tesis_2 (MCIA_4),,Optica_Fisica (FIS_5),,Sustentabilidad (BIOMED_5),,,,,,,Principios_Nanosensados (NANO_8),,Estatica (BIOMED_2) | Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,Fisica_Experimental (FIS_2),,
14:00-14:30,,,Optica_Fisica (FIS_5),Algebra_Lineal (NANO_1),Sustentabilidad (BIOMED_5),,,,,,,Principios_Nanosensados (NANO_8),,Estatica (BIOMED_2) | Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,,,
14:30-15:00,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),Sustentabilidad (BIOMED_5),,,,,,,Electromagnetismo (NANO_3) | Principios_Nanosensados (NANO_8),,Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,,,
15:00-15:30,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),Sustentabilidad (BIOMED_5),,,,,,,Electromagnetismo (NANO_3),,Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,,,Laboratorio_Control_Inteligente (BIOMED_7)
15:30-16:00,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),Sustentabilidad (BIOMED_5),,,,,,,Electromagnetismo (NANO_3),,Programacion_1 (NANO_2) | Ciencias_de_Macromoleculas (NANO_9),,,,,,,,,,Programacion_2 (BIOMED_3),,,,Laboratorio_Control_Inteligente (BIOMED_7)
16:00-16:30,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),,,,,,,,Electromagnetismo (NANO_3),,Programacion_1 (NANO_2),,,,,,,,,CAD_CAM_CAE (BIOMED_6),Programacion_2 (BIOMED_3),,,,Laboratorio_Control_Inteligente (BIOMED_7)
16:30-17:00,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),Nanotoxicologia (NANO_10),,,Quimica_Computacional (NANO_9),,,,Electromagnetismo (NANO_3),,Programacion_1 (NANO_2),,,,,,,,,CAD_CAM_CAE (BIOMED_6),Programacion_2 (BIOMED_3),,,,Laboratorio_Control_Inteligente (BIOMED_7)
17:00-17:30,Biologia_Molecular (NANO_4),,,Algebra_Lineal (NANO_1),Nanotoxicologia (NANO_10),Imagenologia (BIOMED_7),,Quimica_Computacional (NANO_9),,,,Electromagnetismo (NANO_3),,Remedacion_Ambiental (NANO_9),,,,,,,,,CAD_CAM_CAE (BIOMED_6),,,,,
17:30-18:00,,,,Algebra_Lineal (NANO_1),Nanotoxicologia (NANO_10),Imagenologia (BIOMED_7),,Quimica_Computacional (NANO_9),,,,,,Remedacion_Ambiental (NANO_9),,,,,,,,,CAD_CAM_CAE (BIOMED_6),,,,,
18:00-18:30,,,,Algebra_Lineal (NANO_1),Nanotoxicologia (NANO_10),Imagenologia (BIOMED_7),,Quimica_Computacional (NANO_9),,,,,,Remedacion_Ambiental (NANO_9),,,,,,,,,CAD_CAM_CAE (BIOMED_6),,,,,
18:30-19:00,,,,Algebra_Lineal (NANO_1),Nanotoxicologia (NANO_10),Imagenologia (BIOMED_7),,Quimica_Computacional (NANO_9),,,,,,Ciencia_de_Datos (FIS_8) | Remedacion_Ambiental (NANO_9),,,,,,,,,CAD_CAM_CAE (BIOMED_6),,,,,
19:00-19:30,,,,Termodinamica (FIS_4),Nanotoxicologia (NANO_10),Imagenologia (BIOMED_7),,Quimica_Computacional (NANO_9),,,Labview (NANO_8),,,Ciencia_de_Datos (FIS_8) | Remedacion_Ambiental (NANO_9),,,,,,,,,CAD_CAM_CAE (BIOMED_6),Fisiologia (BIOMED_5),,,,
19:30-20:00,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9),Termodinamica (FIS_4),,Imagenologia (BIOMED_7) | Quimica_1 (NANO_1),,,,,Labview (NANO_8),,,Ciencia_de_Datos (FIS_8) | Remedacion_Ambiental (NANO_9),,,,,,Quimica_Organica_2 (BIOMED_3),,,CAD_CAM_CAE (BIOMED_6),Fisiologia (BIOMED_5),,,,
