,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
12:00-12:30,,,,,,,,,,,,,Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,,Fisica_1 (FIS_1),Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),Probabilidad_y_Estadistica (NANO_1),,,,,Microelectronica (NANO_5)
12:30-13:00,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7),,,,,,,Analisis_Numerico (NANO_4),,Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1),Fisica_1 (FIS_1),Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),,,,,,Microelectronica (NANO_5)
13:00-13:30,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7) | Bioinstrumentacion (BIOMED_7),,,,,,,Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1),Fisica_1 (FIS_1),Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),,,,,,Microelectronica (NANO_5)
13:30-14:00,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7) | Bioinstrumentacion (BIOMED_7),,,,,,Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1),,Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),Tópicos_Selectos_de_Biofísica (NANO_5),,,,,Microelectronica (NANO_5)
14:00-14:30,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7) | Bioinstrumentacion (BIOMED_7),,,,,,Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1),,Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),Tópicos_Selectos_de_Biofísica (NANO_5),,,,,Microelectronica (NANO_5)
14:30-15:00,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7) | Bioinstrumentacion (BIOMED_7),Ecuaciones_Diferenciales (FIS_3),,,,,Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1) | Quimica_Organica (NANO_2),,Fisica_2 (BIOMED_3),Tópicos_Selectos_de_Biofísica (NANO_5),,,,,
15:00-15:30,Optativa_1 (MCIA_2),Optativa_Especialidad_5_BioMed (BIOMED_9),,Propiedades_Electricas_y_Magneticas_de_los_Materiales (FIS_7) | Bioinstrumentacion (BIOMED_7),Ecuaciones_Diferenciales (FIS_3),,,,,Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Computacion_Avanzada (MCIA_1) | Topicos_Selectos_1 (BIOMED_9) | Quimica_Organica (NANO_2),Universidad_y_Sociedad (NANO_1),,Tópicos_Selectos_de_Biofísica (NANO_5),,,Laboratorio_Quimica_Organica_2 (NANO_3),,
15:30-16:00,,Optativa_Especialidad_5_BioMed (BIOMED_9),,Mecanica_Cuantica (FIS_5) | Bioinstrumentacion (BIOMED_7),Ecuaciones_Diferenciales (FIS_3),,,,,Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,Topicos_Selectos_1 (BIOMED_9) | Quimica_Organica (NANO_2),Universidad_y_Sociedad (NANO_1),,Tópicos_Selectos_de_Biofísica (NANO_5),,,Laboratorio_Quimica_Organica (NANO_2) | Laboratorio_Quimica_Organica_2 (NANO_3),,
16:00-16:30,,Optativa_Especialidad_5_BioMed (BIOMED_9),,Mecanica_Cuantica (FIS_5) | Bioinstrumentacion (BIOMED_7),Ecuaciones_Diferenciales (FIS_3),,,,,Fisica_del_Estado_Solido (FIS_7) | Nanorobotica (NANO_9),Analisis_Numerico (NANO_4),Calculo_Integral (BIOMED_2),Gestion_de_la_Tecnologia (BIOMED_8),,,,,Optativa_3 (MCIA_3),,Topicos_Selectos_1 (BIOMED_9) | Quimica_Organica (NANO_2),Universidad_y_Sociedad (NANO_1),,Tópicos_Selectos_de_Biofísica (NANO_5),,,Laboratorio_Quimica_Organica (NANO_2),,
16:30-17:00,Topicos_Selectos_de_Ingenieria (NANO_5),,,Mecanica_Cuantica (FIS_5) | Bioinstrumentacion (BIOMED_7),Ecuaciones_Diferenciales (FIS_3),,,,,Fisica_del_Estado_Solido (FIS_7),Fisica_Estadistica (FIS_6),Calculo_Integral (BIOMED_2),,,,,,Optativa_3 (MCIA_3),,Topicos_Selectos_1 (BIOMED_9) | Quimica_Organica (NANO_2),Universidad_y_Sociedad (NANO_1),,,,,,,
17:00-17:30,Topicos_Selectos_de_Ingenieria (NANO_5),,,Mecanica_Cuantica (FIS_5),Ecuaciones_Diferenciales (FIS_3),,,Optativa_Especialidad_3_BioMed (BIOMED_8),,Fisica_del_Estado_Solido (FIS_7),Fisica_Estadistica (FIS_6),,,,,,,Optativa_3 (MCIA_3),,Topicos_Selectos_1 (BIOMED_9) | Quimica_Organica (NANO_2),Universidad_y_Sociedad (NANO_1),,,,,,,
17:30-18:00,Topicos_Selectos_de_Ingenieria (NANO_5),,,Mecanica_Cuantica (FIS_5),Ecuaciones_Diferenciales (FIS_3),,,Optativa_Especialidad_3_BioMed (BIOMED_8),,Fisica_del_Estado_Solido (FIS_7),Fisica_Estadistica (FIS_6),,,,,,,Optativa_3 (MCIA_3),,Topicos_Selectos_1 (BIOMED_9),Universidad_y_Sociedad (NANO_1),,,,,,,
18:00-18:30,Topicos_Selectos_de_Ingenieria (NANO_5),,,Mecanica_Cuantica (FIS_5),Ecuaciones_Diferenciales (FIS_3),,,Optativa_Especialidad_3_BioMed (BIOMED_8),,Fisica_del_Estado_Solido (FIS_7),Fisica_Estadistica (FIS_6),,,,,,,Optativa_3 (MCIA_3),,,,,,Ecuaciones_Diferenciales (BIOMED_3),,,,
18:30-19:00,Topicos_Selectos_de_Ingenieria (NANO_5),Ingenieria_de_Materiales_2 (NANO_7),,Mecanica_Cuantica (FIS_5),,,,Optativa_Especialidad_3_BioMed (BIOMED_8),Laboratorio_Quimica_Inorganica (NANO_2),Fisica_del_Estado_Solido (FIS_7),Fisica_Estadistica (FIS_6),,,,,,,Optativa_3 (MCIA_3),,,,,,Ecuaciones_Diferenciales (BIOMED_3),,,,
19:00-19:30,Topicos_Selectos_de_Ingenieria (NANO_5),Ingenieria_de_Materiales_2 (NANO_7),,Mecanica_Cuantica (FIS_5),,,,Optativa_Especialidad_3_BioMed (BIOMED_8),Laboratorio_Quimica_Inorganica (NANO_2),,Fisica_Estadistica (FIS_6),,,,,,Aprendizaje_Automatico (MCIA_1),,,,,,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
19:30-20:00,Topicos_Selectos_de_Ingenieria (NANO_5),Ingenieria_de_Materiales_2 (NANO_7),Circuitos_Electricos (BIOMED_4),,,,,Optativa_Especialidad_3_BioMed (BIOMED_8),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3) | Fisica_Estadistica (FIS_6),,,,,,Aprendizaje_Automatico (MCIA_1),,,,Biologia (BIOMED_2),,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
