materia_id,code,name,hours_per_week,room_type_required
146,LOE1N,Laboratorio_Optativa_Especialidad_1_Nano,1,normal
147,FQ2,Fisicoquimica_2,3,normal
148,IM2,Ingenieria_de_Materiales_2,3,normal
149,LIM2,Laboratorio_Ingenieria_de_Materiales_2,2,laboratorio
150,INT,Ing_Nanotecnologia,4,normal
151,OE2N,Optativa_Especialidad_2_Nano,4,normal
152,MN,Materiales_Nanoestructurados,3,normal
153,NBM,Nanobiomateriales,3,normal
154,FNI,Formulaciones Nanotecnologicas para la Industria,4,normal
155,LV,Labview,3,normal
156,PNS,Principios_Nanosensados,3,normal
157,MN2,Materiales_Nanoestructurados_2,3,normal
158,BN,Biosistemas_en_Nanoescala,3,normal
159,QC,Quimica_Computacional,3,normal
160,STT2,Seminario_de_Titulacion_2,2,normal
161,NR,Nanorobotica,3,normal
162,MMS,MEMS,3,normal
163,IMMS,Instrumentacion_con_MEMS,3,normal
164,RA,Remedacion_Ambiental,3,normal
165,EALT,Energias_Alternativas,3,normal
166,CMM,Ciencias_de_Macromoleculas,3,normal
167,NT,Nanotoxicologia,3,normal
168,FI2,Fisiologia_2,4,normal
