assignment_id,materia_id,group_id,program_id,group_name,size,semester,code,subject_name,hours_per_week,room_type_required,program_name
43,43,27,4,FIS_5,30,5,PMM,Propiedades_Mecanicas_de_los_Materiales,3,normal,Ing. Fisica
44,44,27,4,FIS_5,30,5,MM2,Metodos_Matematicos_2,4,normal,Ing. Fisica
45,45,27,4,FIS_5,30,5,MCU,Mecanica_Cuantica,4,normal,Ing. Fisica
46,46,27,4,FIS_5,30,5,ASP,Analisis_de_Sistemas_Probabilisticos,3,normal,Ing. Fisica
47,47,27,4,FIS_5,30,5,PF1,Proyecto_Fase_1,1,normal,Ing. Fisica
48,48,27,4,FIS_5,30,5,T4,Taller_4,1,normal,Ing. Fisica
49,49,27,4,FIS_5,30,5,OF,Optica_Fisica,4,normal,Ing. Fisica
50,50,28,4,FIS_6,30,6,PF2,Proyecto_Fase_2,1,normal,Ing. Fisica
51,51,28,4,FIS_6,30,6,SD1,Sistemas_Dinamicos_1,3,normal,Ing. Fisica
52,52,28,4,FIS_6,30,6,EF,Elemento_Finito,3,normal,Ing. Fisica
53,53,28,4,FIS_6,30,6,LE,Laboratorio_de_Electronica,4,normal,Ing. Fisica
54,54,28,4,FIS_6,30,6,T5,Taller_5,1,normal,Ing. Fisica
55,55,28,4,FIS_6,30,6,FSE,Fisica_Estadistica,4,normal,Ing. Fisica
56,56,28,4,FIS_6,30,6,EDC,Electrodinamica_Clasica,4,normal,Ing. Fisica
57,57,29,4,FIS_7,30,7,PF3,Proyecto_Fase_3,1,normal,Ing. Fisica
58,58,29,4,FIS_7,30,7,LAFM,Laboratorio_Avanzado_de_Fisico_por_Materiales,2,normal,Ing. Fisica
59,59,29,4,FIS_7,30,7,SD2,Sistemas_Dinamicos_2,3,normal,Ing. Fisica
60,60,29,4,FIS_7,30,7,FES,Fisica_del_Estado_Solido,3,normal,Ing. Fisica
61,61,29,4,FIS_7,30,7,PC,Principios_de_Caracterizacion,3,normal,Ing. Fisica
62,62,29,4,FIS_7,30,7,PEMM,Propiedades_Electricas_y_Magneticas_de_los_Materiales,3,normal,Ing. Fisica
63,63,29,4,FIS_7,30,7,T6,Taller_6,1,normal,Ing. Fisica
64,64,29,4,FIS_7,30,7,D,Didactica,3,normal,Ing. Fisica
65,65,30,4,FIS_8,30,8,OEF1,Optativa_Especialidad_1_Fisica,3,normal,Ing. Fisica
66,66,30,4,FIS_8,30,8,OEF2,Optativa_Especialidad_2_Fisica,3,normal,Ing. Fisica
67,67,30,4,FIS_8,30,8,OEF3,Optativa_Especialidad_3_Fisica,3,normal,Ing. Fisica
68,71,30,4,FIS_8,30,8,DS,Dispositivos_Semiconductores,3,normal,Ing. Fisica
69,73,30,4,FIS_8,30,8,FC,Fisica_Computacional,3,normal,Ing. Fisica
70,74,30,4,FIS_8,30,8,CDD,Ciencia_de_Datos,3,normal,Ing. Fisica
71,75,30,4,FIS_8,30,8,BE,Bioetica,3,normal,Ing. Fisica
72,72,30,4,FIS_8,30,8,STT,Seminario_de_Titulacion,2,normal,Ing. Fisica
73,76,31,4,FIS_9,30,9,SE,Sistemas_Estocasticos,3,normal,Ing. Fisica
74,68,31,4,FIS_9,30,9,OEF4,Optativa_Especialidad_4_Fisica,3,normal,Ing. Fisica
75,69,31,4,FIS_9,30,9,OEF5,Optativa_Especialidad_5_Fisica,3,normal,Ing. Fisica
76,70,31,4,FIS_9,30,9,OEF6,Optativa_Especialidad_6_Fisica,3,normal,Ing. Fisica
77,16,15,3,BIOMED_1,30,1,AL,Algebra_Lineal,5,normal,Ing. Biomedica
78,19,15,3,BIOMED_1,30,1,Q1,Quimica_1,3,normal,Ing. Biomedica
79,77,15,3,BIOMED_1,30,1,PE,Probabilidad_y_Estadistica,4,normal,Ing. Biomedica
80,17,15,3,BIOMED_1,30,1,CD,Calculo_Diferencial,5,normal,Ing. Biomedica
81,22,15,3,BIOMED_1,30,1,US,Universidad_y_Sociedad,3,normal,Ing. Biomedica
82,18,15,3,BIOMED_1,30,1,F1,Fisica_1,4,normal,Ing. Biomedica
83,78,15,3,BIOMED_1,30,1,IB,Intro_a_Biomedica,3,normal,Ing. Biomedica
84,24,16,3,BIOMED_2,30,2,CI,Calculo_Integral,4,normal,Ing. Biomedica
85,38,16,3,BIOMED_2,30,2,T,Termodinamica,4,normal,Ing. Biomedica
86,79,16,3,BIOMED_2,30,2,BL,Biologia,4,normal,Ing. Biomedica
87,80,16,3,BIOMED_2,30,2,QO,Quimica_Organica,3,normal,Ing. Biomedica
88,81,16,3,BIOMED_2,30,2,LQO,Laboratorio_Quimica_Organica,1,laboratorio,Ing. Biomedica
89,82,16,3,BIOMED_2,30,2,E,Estatica,4,normal,Ing. Biomedica
90,26,16,3,BIOMED_2,30,2,P1,Programacion_1,5,normal,Ing. Biomedica
91,83,16,3,BIOMED_2,30,2,EOE,Expresion_Oral_y_Escrita,3,normal,Ing. Biomedica
92,30,17,3,BIOMED_3,30,3,CM,Calculo_Multivariable,4,normal,Ing. Biomedica
93,31,17,3,BIOMED_3,30,3,ED,Ecuaciones_Diferenciales,4,normal,Ing. Biomedica
94,25,17,3,BIOMED_3,30,3,F2,Fisica_2,4,normal,Ing. Biomedica
95,32,17,3,BIOMED_3,30,3,P2,Programacion_2,4,normal,Ing. Biomedica
96,129,17,3,BIOMED_3,30,3,QO2,Quimica_Organica_2,3,normal,Ing. Biomedica
97,130,17,3,BIOMED_3,30,3,LQO2,Laboratorio_Quimica_Organica_2,1,laboratorio,Ing. Biomedica
98,34,17,3,BIOMED_3,30,3,EM,Electromagnetismo,3,normal,Ing. Biomedica
99,35,17,3,BIOMED_3,30,3,LEM,Laboratorio_de_Electromagnetismo,1,laboratorio,Ing. Biomedica
100,86,17,3,BIOMED_3,30,3,FQ,Fisicoquimica,3,normal,Ing. Biomedica
101,37,18,3,BIOMED_4,30,4,AN,Analisis_Numerico,4,normal,Ing. Biomedica
102,87,18,3,BIOMED_4,30,4,BM,Biomagnetismo,4,normal,Ing. Biomedica
103,88,18,3,BIOMED_4,30,4,A,Anatomia,5,normal,Ing. Biomedica
104,89,18,3,BIOMED_4,30,4,CE,Circuitos_Electricos,2,normal,Ing. Biomedica
105,90,18,3,BIOMED_4,30,4,LCE,Laboratorio_Circuitos_Electricos,2,laboratorio,Ing. Biomedica
106,91,18,3,BIOMED_4,30,4,BQ,Bioquimica,4,normal,Ing. Biomedica
107,92,19,3,BIOMED_5,30,5,TM,Tecnologia_de_Materiales,4,normal,Ing. Biomedica
108,93,19,3,BIOMED_5,30,5,FI1,Fisiologia,4,normal,Ing. Biomedica
109,94,19,3,BIOMED_5,30,5,MSSB,Modelado_y_Simulación_de_Sistemas_Biológicos,4,normal,Ing. Biomedica
110,95,19,3,BIOMED_5,30,5,EA,Electronica_Analogica,4,normal,Ing. Biomedica
111,96,19,3,BIOMED_5,30,5,S,Sustentabilidad,3,normal,Ing. Biomedica
112,97,19,3,BIOMED_5,30,5,IBS,Intro_Biosensores,4,normal,Ing. Biomedica
113,98,20,3,BIOMED_6,30,6,ELD,Electronica_Digital,4,normal,Ing. Biomedica
114,168,20,3,BIOMED_6,30,6,FI2,Fisiologia_2,4,normal,Ing. Biomedica
115,99,20,3,BIOMED_6,30,6,TC,Teoria_de_Control,4,normal,Ing. Biomedica
116,100,20,3,BIOMED_6,30,6,BMT,Biomateriales,4,normal,Ing. Biomedica
117,101,20,3,BIOMED_6,30,6,PS,Procesamiento_de_Señales,2,normal,Ing. Biomedica
118,102,20,3,BIOMED_6,30,6,CCC,CAD_CAM_CAE,5,normal,Ing. Biomedica
119,103,21,3,BIOMED_7,30,7,ICN,Ing_Clinica,4,normal,Ing. Biomedica
120,104,21,3,BIOMED_7,30,7,CINT,Control_Inteligente,2,normal,Ing. Biomedica
121,105,21,3,BIOMED_7,30,7,LCINT,Laboratorio_Control_Inteligente,2,laboratorio,Ing. Biomedica
122,106,21,3,BIOMED_7,30,7,BMC,Biomecanica,4,normal,Ing. Biomedica
123,107,21,3,BIOMED_7,30,7,BI,Bioinstrumentacion,4,normal,Ing. Biomedica
124,75,21,3,BIOMED_7,30,7,BE,Bioetica,3,normal,Ing. Biomedica
125,108,21,3,BIOMED_7,30,7,BELC,Bioelectronica,2,normal,Ing. Biomedica
126,109,21,3,BIOMED_7,30,7,LBELC,Laboratorio_Bioelectronica,2,normal,Ing. Biomedica
127,110,21,3,BIOMED_7,30,7,IMG,Imagenologia,4,normal,Ing. Biomedica
128,111,22,3,BIOMED_8,30,8,SB,Sistemas_Biomecanicos,4,normal,Ing. Biomedica
129,112,22,3,BIOMED_8,30,8,GT,Gestion_de_la_Tecnologia,5,normal,Ing. Biomedica
130,113,22,3,BIOMED_8,30,8,OE1B,Optativa_Especialidad_1_BioMed,4,normal,Ing. Biomedica
131,114,22,3,BIOMED_8,30,8,OE2B,Optativa_Especialidad_2_BioMed,4,normal,Ing. Biomedica
132,115,22,3,BIOMED_8,30,8,OE3B,Optativa_Especialidad_3_BioMed,4,normal,Ing. Biomedica
133,116,22,3,BIOMED_8,30,8,OE4B,Optativa_Especialidad_4_BioMed,4,normal,Ing. Biomedica
134,117,33,3,BIOMED_9,30,9,OE5B,Optativa_Especialidad_5_BioMed,4,normal,Ing. Biomedica
135,118,33,3,BIOMED_9,30,9,OE6B,Optativa_Especialidad_6_BioMed,4,normal,Ing. Biomedica
136,119,33,3,BIOMED_9,30,9,OE7B,Optativa_Especialidad_7_BioMed,4,normal,Ing. Biomedica
137,120,33,3,BIOMED_9,30,9,OE8B,Optativa_Especialidad_8_BioMed,4,normal,Ing. Biomedica
138,121,33,3,BIOMED_9,30,9,TS1,Topicos_Selectos_1,3,normal,Ing. Biomedica
139,122,33,3,BIOMED_9,30,9,LTS1,Laboratorio_Topicos_Selectos_1,2,laboratorio,Ing. Biomedica
140,72,34,3,BIOMED_10,30,10,STT,Seminario_de_Titulacion,2,normal,Ing. Biomedica
141,18,5,2,NANO_1,30,1,F1,Fisica_1,4,normal,Ing. Nanotecnologia
142,19,5,2,NANO_1,30,1,Q1,Quimica_1,3,normal,Ing. Nanotecnologia
143,20,5,2,NANO_1,30,1,LQ,Laboratorio_Quimica,1,laboratorio,Ing. Nanotecnologia
144,125,5,2,NANO_1,30,1,IN,Intro_Nanotecnologia,3,normal,Ing. Nanotecnologia
145,77,5,2,NANO_1,30,1,PE,Probabilidad_y_Estadistica,4,normal,Ing. Nanotecnologia
146,22,5,2,NANO_1,30,1,US,Universidad_y_Sociedad,3,normal,Ing. Nanotecnologia
147,16,5,2,NANO_1,30,1,AL,Algebra_Lineal,5,normal,Ing. Nanotecnologia
148,17,5,2,NANO_1,30,1,CD,Calculo_Diferencial,5,normal,Ing. Nanotecnologia
149,24,6,2,NANO_2,30,2,CI,Calculo_Integral,4,normal,Ing. Nanotecnologia
150,26,6,2,NANO_2,30,2,P1,Programacion_1,5,normal,Ing. Nanotecnologia
151,25,6,2,NANO_2,30,2,F2,Fisica_2,4,normal,Ing. Nanotecnologia
152,126,6,2,NANO_2,30,2,QI,Quimica_Inorganica,3,normal,Ing. Nanotecnologia
153,127,6,2,NANO_2,30,2,LQI,Laboratorio_Quimica_Inorganica,1,normal,Ing. Nanotecnologia
154,80,6,2,NANO_2,30,2,QO,Quimica_Organica,3,normal,Ing. Nanotecnologia
155,81,6,2,NANO_2,30,2,LQO,Laboratorio_Quimica_Organica,1,laboratorio,Ing. Nanotecnologia
156,128,6,2,NANO_2,30,2,QA,Quimica_Analitica,4,normal,Ing. Nanotecnologia
157,79,6,2,NANO_2,30,2,BL,Biologia,4,normal,Ing. Nanotecnologia
158,129,7,2,NANO_3,30,3,QO2,Quimica_Organica_2,3,normal,Ing. Nanotecnologia
159,130,7,2,NANO_3,30,3,LQO2,Laboratorio_Quimica_Organica_2,1,laboratorio,Ing. Nanotecnologia
160,34,7,2,NANO_3,30,3,EM,Electromagnetismo,3,normal,Ing. Nanotecnologia
161,35,7,2,NANO_3,30,3,LEM,Laboratorio_de_Electromagnetismo,1,laboratorio,Ing. Nanotecnologia
162,91,7,2,NANO_3,30,3,BQ,Bioquimica,4,normal,Ing. Nanotecnologia
163,131,7,2,NANO_3,30,3,QI2,Quimica_Inorganica_2,3,normal,Ing. Nanotecnologia
164,132,7,2,NANO_3,30,3,LQI2,Laboratorio_Quimica_Inorganica_2,1,laboratorio,Ing. Nanotecnologia
165,31,7,2,NANO_3,30,3,ED,Ecuaciones_Diferenciales,4,normal,Ing. Nanotecnologia
166,30,7,2,NANO_3,30,3,CM,Calculo_Multivariable,4,normal,Ing. Nanotecnologia
167,133,7,2,NANO_3,30,3,R,Redaccion,2,normal,Ing. Nanotecnologia
168,39,8,2,NANO_4,30,4,MM1,Metodos_Matematicos,4,normal,Ing. Nanotecnologia
169,38,8,2,NANO_4,30,4,T,Termodinamica,4,normal,Ing. Nanotecnologia
170,49,8,2,NANO_4,30,4,OF,Optica_Fisica,4,normal,Ing. Nanotecnologia
171,134,8,2,NANO_4,30,4,I,Instrumental_1,3,normal,Ing. Nanotecnologia
172,89,8,2,NANO_4,30,4,CE,Circuitos_Electricos,2,normal,Ing. Nanotecnologia
173,90,8,2,NANO_4,30,4,LCE,Laboratorio_Circuitos_Electricos,2,laboratorio,Ing. Nanotecnologia
174,37,8,2,NANO_4,30,4,AN,Analisis_Numerico,4,normal,Ing. Nanotecnologia
175,135,8,2,NANO_4,30,4,BMLC,Biologia_Molecular,3,normal,Ing. Nanotecnologia
176,136,8,2,NANO_4,30,4,LBMLC,Laboratorio_Biologia_Molecular,1,laboratorio,Ing. Nanotecnologia
177,86,9,2,NANO_5,30,5,FQ,Fisicoquimica,3,normal,Ing. Nanotecnologia
178,137,9,2,NANO_5,30,5,I2,Instrumental_2,3,normal,Ing. Nanotecnologia
179,45,9,2,NANO_5,30,5,MCU,Mecanica_Cuantica,4,normal,Ing. Nanotecnologia
180,138,9,2,NANO_5,30,5,MCE,Microelectronica,3,laboratorio,Ing. Nanotecnologia
181,139,9,2,NANO_5,30,5,TSB,Tópicos_Selectos_de_Biofísica,3,normal,Ing. Nanotecnologia
182,140,9,2,NANO_5,30,5,TSI,Topicos_Selectos_de_Ingenieria,4,normal,Ing. Nanotecnologia
183,141,10,2,NANO_6,30,6,OU,Operaciones_Unitarias,4,normal,Ing. Nanotecnologia
184,142,10,2,NANO_6,30,6,IM1,Ingenieria_de_Materiales_1,3,normal,Ing. Nanotecnologia
185,143,10,2,NANO_6,30,6,LIM1,Laboratorio_Ingenieria_de_Materiales_1,2,laboratorio,Ing. Nanotecnologia
186,144,10,2,NANO_6,30,6,BT,Biotecnologia,3,normal,Ing. Nanotecnologia
187,60,10,2,NANO_6,30,6,FES,Fisica_del_Estado_Solido,3,normal,Ing. Nanotecnologia
188,145,10,2,NANO_6,30,6,OE1N,Optativa_Especialidad_1_Nano,3,normal,Ing. Nanotecnologia
189,146,10,2,NANO_6,30,6,LOE1N,Laboratorio_Optativa_Especialidad_1_Nano,1,normal,Ing. Nanotecnologia
190,71,11,2,NANO_7,30,7,DS,Dispositivos_Semiconductores,3,normal,Ing. Nanotecnologia
191,148,11,2,NANO_7,30,7,IM2,Ingenieria_de_Materiales_2,3,normal,Ing. Nanotecnologia
192,149,11,2,NANO_7,30,7,LIM2,Laboratorio_Ingenieria_de_Materiales_2,2,laboratorio,Ing. Nanotecnologia
193,150,11,2,NANO_7,30,7,INT,Ing_Nanotecnologia,4,normal,Ing. Nanotecnologia
194,151,11,2,NANO_7,30,7,OE2N,Optativa_Especialidad_2_Nano,4,normal,Ing. Nanotecnologia
195,152,11,2,NANO_7,30,7,MN,Materiales_Nanoestructurados,3,normal,Ing. Nanotecnologia
196,153,11,2,NANO_7,30,7,NBM,Nanobiomateriales,3,normal,Ing. Nanotecnologia
197,72,12,2,NANO_8,30,8,STT,Seminario_de_Titulacion,2,normal,Ing. Nanotecnologia
198,73,12,2,NANO_8,30,8,FC,Fisica_Computacional,3,normal,Ing. Nanotecnologia
199,154,12,2,NANO_8,30,8,FNI,Formulaciones_Nanotecnologicas_para_la_Industria,4,normal,Ing. Nanotecnologia
200,155,12,2,NANO_8,30,8,LV,Labview,3,normal,Ing. Nanotecnologia
201,156,12,2,NANO_8,30,8,PNS,Principios_Nanosensados,3,normal,Ing. Nanotecnologia
202,157,12,2,NANO_8,30,8,MN2,Materiales_Nanoestructurados_2,3,normal,Ing. Nanotecnologia
203,158,12,2,NANO_8,30,8,BN,Biosistemas_en_Nanoescala,3,normal,Ing. Nanotecnologia
204,159,13,2,NANO_9,30,9,QC,Quimica_Computacional,3,normal,Ing. Nanotecnologia
205,160,13,2,NANO_9,30,9,STT2,Seminario_de_Titulacion_2,2,normal,Ing. Nanotecnologia
206,161,13,2,NANO_9,30,9,NR,Nanorobotica,3,normal,Ing. Nanotecnologia
207,162,13,2,NANO_9,30,9,MMS,MEMS,3,normal,Ing. Nanotecnologia
208,163,13,2,NANO_9,30,9,IMMS,Instrumentacion_con_MEMS,3,normal,Ing. Nanotecnologia
209,164,13,2,NANO_9,30,9,RA,Remedacion_Ambiental,3,normal,Ing. Nanotecnologia
210,165,13,2,NANO_9,30,9,EALT,Energias_Alternativas,3,normal,Ing. Nanotecnologia
211,166,13,2,NANO_9,30,9,CMM,Ciencias_de_Macromoleculas,3,normal,Ing. Nanotecnologia
212,167,14,2,NANO_10,30,10,NT,Nanotoxicologia,3,normal,Ing. Nanotecnologia
