sueño(hr),agua(lt),pasos,comida_chatarra(kcal),estres,saludable,Fecha
6.53,1.81,3901.00,607.40,7.00,0.00,2025-02-16
7.01,1.02,2443.00,874.70,7.00,0.00,2025-02-17
7.60,2.53,9633.00,99.17,4.00,1.00,2025-02-18
4.62,1.60,5879.00,1037.86,6.00,0.00,2025-02-19
5.38,0.92,4503.00,1265.10,4.00,0.00,2025-02-20
5.61,1.01,4457.00,670.35,6.00,0.00,2025-02-21
7.03,2.07,9665.00,167.95,4.00,1.00,2025-02-22
6.84,2.49,10460.00,162.17,5.00,1.00,2025-02-23
6.05,1.34,3642.00,618.36,9.00,0.00,2025-02-24
7.85,1.82,10092.00,132.22,5.00,1.00,2025-02-25
6.77,2.09,7780.00,504.99,3.00,1.00,2025-02-26
6.61,2.21,10730.00,278.98,3.00,1.00,2025-02-27
7.11,2.64,8625.00,295.71,5.00,1.00,2025-02-28
5.10,1.61,5011.00,1017.88,6.00,0.00,2025-03-01
6.00,1.23,2200.00,456.50,7.00,0.00,2025-03-02
7.61,3.04,7088.00,229.06,3.00,1.00,2025-03-03
6.95,2.61,9528.00,309.44,3.00,1.00,2025-03-04
7.35,2.43,9941.00,245.56,2.00,1.00,2025-03-05
7.50,1.65,10032.00,134.28,3.00,1.00,2025-03-06
6.73,2.43,7718.00,380.05,5.00,1.00,2025-03-07
7.35,2.28,10403.00,290.78,5.00,1.00,2025-03-08
7.06,1.81,9163.00,464.98,3.00,1.00,2025-03-09
7.53,1.74,10269.00,284.74,1.00,1.00,2025-03-10
6.90,2.10,7689.00,491.87,2.00,1.00,2025-03-11
5.27,0.59,4037.00,759.61,7.00,0.00,2025-03-12
6.60,0.45,3872.00,901.93,6.00,0.00,2025-03-13
6.66,2.18,10241.00,436.98,5.00,1.00,2025-03-14
8.54,2.16,8931.00,432.86,4.00,1.00,2025-03-15
4.92,1.29,1813.00,796.28,6.00,0.00,2025-03-16
7.29,2.59,8887.00,217.17,1.00,1.00,2025-03-17
6.12,0.97,4636.00,1181.85,7.00,0.00,2025-03-18
7.12,2.73,12733.00,371.14,5.00,1.00,2025-03-19
6.44,1.43,2180.00,928.60,9.00,0.00,2025-03-20
5.00,1.42,4326.00,607.61,6.00,0.00,2025-03-21
6.97,2.45,9830.00,185.35,4.00,1.00,2025-03-22
7.81,2.86,9575.00,523.35,5.00,1.00,2025-03-23
5.86,1.31,3888.00,956.89,8.00,0.00,2025-03-24
7.85,2.84,6162.00,383.02,2.00,1.00,2025-03-25
8.64,2.60,9376.00,418.25,4.00,1.00,2025-03-26
6.82,2.89,6770.00,319.97,4.00,1.00,2025-03-27
6.30,1.03,4895.00,763.23,6.00,0.00,2025-03-28
8.01,1.52,10064.00,281.06,6.00,1.00,2025-03-29
7.61,2.69,8038.00,512.30,6.00,1.00,2025-03-30
7.81,2.70,9162.00,370.89,3.00,1.00,2025-03-31
4.64,1.24,3439.00,652.75,6.00,0.00,2025-04-01
6.80,2.50,8829.00,187.15,4.00,1.00,2025-04-02
5.43,1.20,3340.00,691.47,8.00,0.00,2025-04-03
7.20,2.46,7292.00,399.55,4.00,1.00,2025-04-04
5.94,1.58,2000.00,886.91,5.00,0.00,2025-04-05
6.61,1.57,3449.00,666.10,8.00,0.00,2025-04-06
7.29,1.60,12141.00,269.59,1.00,1.00,2025-04-07
5.95,1.09,2079.00,897.19,8.00,0.00,2025-04-08
7.32,2.74,9031.00,231.60,3.00,1.00,2025-04-09
5.46,1.12,4374.00,806.23,7.00,0.00,2025-04-10
4.30,1.28,4487.00,757.05,4.00,0.00,2025-04-11
4.34,1.92,2569.00,666.67,7.00,0.00,2025-04-12
7.29,2.63,12237.00,217.23,2.00,1.00,2025-04-13
4.78,0.57,1438.00,1071.20,7.00,0.00,2025-04-14
7.01,2.28,6738.00,488.65,4.00,1.00,2025-04-15
7.43,2.30,9166.00,117.28,1.00,1.00,2025-04-16
6.08,1.23,5069.00,585.16,8.00,0.00,2025-04-17
7.47,2.68,11397.00,201.38,2.00,1.00,2025-04-18
7.26,2.86,7776.00,205.12,5.00,1.00,2025-04-19
6.80,3.41,7778.00,267.31,-1.00,1.00,2025-04-20
7.39,2.78,10929.00,407.91,4.00,1.00,2025-04-21
6.32,1.03,2649.00,882.66,7.00,0.00,2025-04-22
5.76,1.16,4288.00,1038.71,6.00,0.00,2025-04-23
4.88,0.97,2537.00,719.83,3.00,0.00,2025-04-24
4.33,1.64,2862.00,531.74,7.00,0.00,2025-04-25
5.82,1.41,2316.00,666.71,7.00,0.00,2025-04-26
5.59,0.79,3839.00,951.67,6.00,0.00,2025-04-27
5.90,1.96,3850.00,768.66,7.00,0.00,2025-04-28
7.45,2.35,9537.00,422.79,3.00,1.00,2025-04-29
6.01,1.27,3222.00,719.24,6.00,0.00,2025-04-30
5.69,1.64,3483.00,747.39,6.00,0.00,2025-05-01
5.75,0.99,3379.00,718.06,6.00,0.00,2025-05-02
7.89,2.02,10271.00,168.06,4.00,1.00,2025-05-03
7.50,2.13,12600.00,172.35,2.00,1.00,2025-05-04
7.22,1.77,11204.00,283.12,5.00,1.00,2025-05-05
5.10,0.36,5500.00,639.24,8.00,0.00,2025-05-06
5.48,1.27,4719.00,626.54,8.00,0.00,2025-05-07
5.50,1.16,3448.00,695.72,8.00,0.00,2025-05-08
7.45,2.44,10400.00,133.33,5.00,1.00,2025-05-09
5.90,1.47,3071.00,1018.86,4.00,0.00,2025-05-10
4.12,1.70,2854.00,744.11,7.00,0.00,2025-05-11
5.89,1.08,3994.00,703.38,4.00,0.00,2025-05-12
6.87,1.71,10429.00,0.03,5.00,1.00,2025-05-13
6.43,1.19,3766.00,832.21,8.00,0.00,2025-05-14
6.39,2.41,10245.00,463.77,3.00,1.00,2025-05-15
4.89,1.59,964.00,930.52,6.00,0.00,2025-05-16
5.19,1.03,4896.00,589.18,10.00,0.00,2025-05-17
7.68,2.26,11878.00,443.53,6.00,1.00,2025-05-18
5.07,1.01,3511.00,818.98,7.00,0.00,2025-05-19
5.70,1.26,3837.00,780.84,7.00,0.00,2025-05-20
5.59,1.07,2547.00,957.42,7.00,0.00,2025-05-21
7.79,2.53,10591.00,377.20,4.00,1.00,2025-05-22
7.17,2.13,6327.00,73.76,3.00,1.00,2025-05-23
6.01,1.50,4196.00,845.92,7.00,0.00,2025-05-24
7.51,2.40,10233.00,327.47,2.00,1.00,2025-05-25
6.70,2.33,8958.00,-114.24,3.00,1.00,2025-05-26
6.83,2.46,8664.00,296.00,3.00,1.00,2025-05-27
4.97,0.74,3534.00,819.16,9.00,0.00,2025-05-28
7.14,2.35,10087.00,402.70,2.00,1.00,2025-05-29
7.76,3.16,8251.00,-8.72,3.00,1.00,2025-05-30
5.37,1.83,3770.00,757.08,7.00,0.00,2025-05-31
7.16,2.22,7397.00,418.51,4.00,1.00,2025-06-01
6.20,1.45,3441.00,1249.31,6.00,0.00,2025-06-02
8.11,2.22,11728.00,438.38,2.00,1.00,2025-06-03
5.82,1.21,4174.00,776.89,10.00,0.00,2025-06-04
7.30,1.62,12061.00,380.47,4.00,1.00,2025-06-05
5.23,0.75,1831.00,875.96,8.00,0.00,2025-06-06
6.38,0.95,3027.00,858.16,9.00,0.00,2025-06-07
8.16,2.15,6946.00,189.99,4.00,1.00,2025-06-08
5.60,1.73,2443.00,833.30,8.00,0.00,2025-06-09
5.87,0.54,2614.00,758.40,7.00,0.00,2025-06-10
6.03,1.36,3737.00,664.63,6.00,0.00,2025-06-11
5.16,1.33,2629.00,725.00,7.00,0.00,2025-06-12
6.73,2.97,7120.00,242.04,3.00,1.00,2025-06-13
5.24,1.90,3323.00,726.08,7.00,0.00,2025-06-14
5.69,1.65,2012.00,768.73,10.00,0.00,2025-06-15
8.28,2.43,9233.00,34.78,5.00,1.00,2025-06-16
4.54,0.95,2988.00,844.42,9.00,0.00,2025-06-17
5.17,1.87,1762.00,568.41,8.00,0.00,2025-06-18
5.34,1.33,3032.00,749.13,7.00,0.00,2025-06-19
6.23,1.40,3340.00,851.17,6.00,0.00,2025-06-20
7.92,2.26,9630.00,95.70,2.00,1.00,2025-06-21
7.23,2.14,10816.00,403.50,6.00,1.00,2025-06-22
7.84,2.50,9784.00,456.02,6.00,1.00,2025-06-23
6.96,2.58,12374.00,319.96,4.00,1.00,2025-06-24
6.74,1.01,4356.00,1044.31,7.00,0.00,2025-06-25
7.44,1.86,11590.00,409.52,4.00,1.00,2025-06-26
4.80,1.03,5834.00,737.36,9.00,0.00,2025-06-27
6.86,1.38,4216.00,421.57,6.00,0.00,2025-06-28
7.70,1.74,11172.00,500.08,6.00,1.00,2025-06-29
6.01,1.29,1883.00,753.81,7.00,0.00,2025-06-30
6.72,2.45,7808.00,140.77,3.00,1.00,2025-07-01
7.91,2.08,11701.00,159.79,4.00,1.00,2025-07-02
7.32,1.37,3679.00,1108.43,5.00,0.00,2025-07-03
5.91,1.65,3999.00,991.35,7.00,0.00,2025-07-04
7.94,3.24,8192.00,429.55,4.00,1.00,2025-07-05
5.61,1.75,5323.00,1066.48,7.00,0.00,2025-07-06
7.06,2.51,9656.00,91.41,-1.00,1.00,2025-07-07
7.21,2.32,9928.00,351.28,2.00,1.00,2025-07-08
7.57,1.59,9902.00,367.21,7.00,1.00,2025-07-09
7.86,2.75,8724.00,460.68,3.00,1.00,2025-07-10
6.79,2.30,10499.00,185.94,6.00,1.00,2025-07-11
6.30,1.32,3340.00,1080.98,7.00,0.00,2025-07-12
7.66,1.71,9620.00,324.78,4.00,1.00,2025-07-13
4.99,1.09,4852.00,1133.14,7.00,0.00,2025-07-14
6.49,2.88,10681.00,273.86,3.00,1.00,2025-07-15
5.05,0.70,2411.00,839.22,8.00,0.00,2025-07-16
6.53,1.91,8097.00,382.78,4.00,1.00,2025-07-17
6.24,1.20,3267.00,636.65,8.00,0.00,2025-07-18
6.38,1.05,3897.00,916.94,8.00,0.00,2025-07-19
7.01,2.31,8575.00,644.44,5.00,1.00,2025-07-20
7.99,1.90,8159.00,353.21,3.00,1.00,2025-07-21
5.23,1.19,3851.00,818.90,6.00,0.00,2025-07-22
7.35,2.40,8728.00,448.84,2.00,1.00,2025-07-23
7.58,1.79,11134.00,523.27,2.00,1.00,2025-07-24
7.36,2.28,6358.00,199.77,4.00,1.00,2025-07-25
7.96,2.65,9238.00,132.89,2.00,1.00,2025-07-26
8.47,2.74,9639.00,423.72,0.00,1.00,2025-07-27
8.01,1.92,10077.00,174.97,2.00,1.00,2025-07-28
5.37,1.27,2618.00,907.43,8.00,0.00,2025-07-29
5.31,1.65,3696.00,926.66,6.00,0.00,2025-07-30
4.82,1.26,5216.00,900.72,5.00,0.00,2025-07-31
7.55,2.37,4354.00,78.60,3.00,1.00,2025-08-01
5.48,0.99,2074.00,1309.92,6.00,0.00,2025-08-02
7.32,2.88,9827.00,181.21,3.00,1.00,2025-08-03
6.09,1.30,3423.00,838.16,6.00,0.00,2025-08-04
6.03,1.28,3084.00,473.39,9.00,0.00,2025-08-05
5.71,1.67,2727.00,884.51,7.00,0.00,2025-08-06
4.84,0.92,3527.00,1125.64,6.00,0.00,2025-08-07
7.07,2.73,11699.00,296.54,4.00,1.00,2025-08-08
5.65,1.71,3829.00,707.20,6.00,0.00,2025-08-09
7.05,2.65,7645.00,309.87,5.00,1.00,2025-08-10
6.71,1.32,3637.00,698.59,10.00,0.00,2025-08-11
5.75,0.90,4494.00,816.89,7.00,0.00,2025-08-12
5.27,1.29,4467.00,1017.69,11.00,0.00,2025-08-13
3.53,1.51,3394.00,720.35,7.00,0.00,2025-08-14
7.33,2.05,11766.00,222.03,3.00,1.00,2025-08-15
7.01,2.03,4161.00,670.17,5.00,0.00,2025-08-16
5.36,1.52,2227.00,768.62,9.00,0.00,2025-08-17
7.10,2.12,11154.00,265.33,5.00,1.00,2025-08-18
4.78,1.32,4822.00,730.40,8.00,0.00,2025-08-19
7.80,1.97,10960.00,519.27,2.00,1.00,2025-08-20
6.54,0.71,3056.00,1002.53,7.00,0.00,2025-08-21
6.78,1.20,2577.00,681.01,5.00,0.00,2025-08-22
5.27,1.22,3011.00,705.30,7.00,0.00,2025-08-23
7.84,1.43,4212.00,750.15,8.00,0.00,2025-08-24
5.81,1.09,2969.00,735.27,4.00,0.00,2025-08-25
4.87,1.16,3168.00,867.60,6.00,0.00,2025-08-26
7.46,2.25,12157.00,423.32,2.00,1.00,2025-08-27
5.73,1.25,2944.00,956.57,9.00,0.00,2025-08-28
7.77,2.52,5772.00,276.07,4.00,1.00,2025-08-29
7.22,2.30,11744.00,216.89,6.00,1.00,2025-08-30
7.33,1.99,7674.00,382.77,3.00,1.00,2025-08-31
7.67,2.49,10551.00,193.55,3.00,1.00,2025-09-01
6.64,1.71,3127.00,913.52,6.00,0.00,2025-09-02
3.92,1.52,2956.00,1057.70,7.00,0.00,2025-09-03
4.24,1.28,2684.00,833.31,7.00,0.00,2025-09-04
4.65,1.88,3695.00,940.53,7.00,0.00,2025-09-05
5.52,1.76,3001.00,506.07,9.00,0.00,2025-09-06
7.08,1.84,4579.00,218.08,5.00,1.00,2025-09-07
7.17,2.93,10508.00,-194.62,5.00,1.00,2025-09-08
5.35,1.82,3020.00,752.03,6.00,0.00,2025-09-09
6.63,1.76,12161.00,310.57,6.00,1.00,2025-09-10
5.67,1.29,3130.00,418.74,7.00,0.00,2025-09-11
7.43,2.01,8494.00,467.37,3.00,1.00,2025-09-12
5.73,1.34,3664.00,1215.81,6.00,0.00,2025-09-13
5.79,1.27,2675.00,791.06,7.00,0.00,2025-09-14
5.97,2.39,11476.00,94.70,3.00,1.00,2025-09-15
5.77,1.99,9798.00,284.01,1.00,1.00,2025-09-16
7.04,2.28,9113.00,-29.36,3.00,1.00,2025-09-17
7.23,2.64,11662.00,329.51,1.00,1.00,2025-09-18
7.46,2.65,9075.00,327.81,2.00,1.00,2025-09-19
3.98,0.95,2943.00,734.31,8.00,0.00,2025-09-20
6.62,2.85,10502.00,289.51,5.00,1.00,2025-09-21
4.72,1.63,3048.00,820.37,7.00,0.00,2025-09-22
5.06,1.18,2323.00,782.79,8.00,0.00,2025-09-23
7.31,1.15,4559.00,663.79,6.00,0.00,2025-09-24
8.09,2.22,8620.00,319.08,5.00,1.00,2025-09-25
6.44,1.53,2739.00,579.02,8.00,0.00,2025-09-26
7.65,2.55,10715.00,49.38,3.00,1.00,2025-09-27
5.40,1.38,3190.00,478.53,9.00,0.00,2025-09-28
6.32,0.98,3197.00,894.31,7.00,0.00,2025-09-29
4.57,1.23,4058.00,1007.05,7.00,0.00,2025-09-30
5.36,1.76,5018.00,914.06,5.00,0.00,2025-10-01
5.11,1.47,2856.00,777.12,7.00,0.00,2025-10-02
6.25,2.39,9720.00,179.01,4.00,1.00,2025-10-03
9.03,2.44,8736.00,162.95,2.00,1.00,2025-10-04
6.25,1.55,1886.00,833.37,9.00,0.00,2025-10-05
6.90,2.56,9229.00,315.73,4.00,1.00,2025-10-06
6.39,2.49,8197.00,703.77,3.00,1.00,2025-10-07
7.39,2.24,9475.00,248.08,4.00,1.00,2025-10-08
6.44,2.08,9668.00,336.69,4.00,1.00,2025-10-09
5.38,1.36,4972.00,725.86,7.00,0.00,2025-10-10
5.26,1.19,996.00,431.49,7.00,0.00,2025-10-11
5.56,1.43,1924.00,812.95,7.00,0.00,2025-10-12
8.19,2.43,9190.00,146.89,6.00,1.00,2025-10-13
7.43,2.36,8312.00,194.29,3.00,1.00,2025-10-14
7.20,2.43,8989.00,192.41,1.00,1.00,2025-10-15
6.93,2.40,9690.00,336.90,5.00,1.00,2025-10-16
4.92,1.05,3822.00,901.91,5.00,0.00,2025-10-17
5.32,1.34,5234.00,875.56,5.00,0.00,2025-10-18
5.74,1.28,2795.00,820.96,5.00,0.00,2025-10-19
5.48,1.22,4284.00,913.25,8.00,0.00,2025-10-20
5.54,1.18,3867.00,506.08,6.00,0.00,2025-10-21
4.53,0.88,3749.00,725.24,5.00,0.00,2025-10-22
8.13,1.92,11403.00,252.23,3.00,1.00,2025-10-23
7.39,1.73,7257.00,139.22,5.00,1.00,2025-10-24
5.73,0.92,4406.00,1328.09,7.00,0.00,2025-10-25
6.41,1.38,4038.00,778.47,9.00,0.00,2025-10-26
7.22,2.16,8280.00,594.19,3.00,1.00,2025-10-27
7.87,2.95,8945.00,68.59,4.00,1.00,2025-10-28
